+-----+--------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|0    |[99, 108, 205, 233, 269, 270, 181, 329, 170, 476, 314, 425, 315, 479, 59, 173, 24, 168, 825, 289, 8, 36, 2, 1503, 1301, 1452, 1619, 827, 226, 405]      |[0.01512088818436923, 0.013999691367917014, 0.012718654320174235, 0.012268060005997663, 0.010658328401522109, 0.00976567719533442, 0.008966528986709259, 0.00856029411742178, 0.008426997275669463, 0.0075189331254580955, 0.007222141008334296, 0.007178300518571138, 0.007061571201141718, 0.006881158944444033, 0.005766340688809732, 0.005400253562850932, 0.005254891233307135, 0.005062536118290871, 0.00497712578701458, 0.004661650954523754, 0.003909771045876826, 0.003727313240878881, 0.003694710543871812, 0.00365428504986585, 0.0035041418611608736, 0.0034281880006578115, 0.0032864017402472476, 0.003146873170129119, 0.00310078749469839, 0.0030453067426783925]                |
|1    |[6, 10, 41, 30, 36, 52, 321, 88, 23, 399, 171, 464, 120, 162, 254, 48, 346, 252, 17, 173, 1, 218, 355, 375, 960, 365, 439, 1164, 100, 310]              |[0.02037165140132587, 0.016228426592342686, 0.009718894508048328, 0.009000404713577758, 0.00864537783190537, 0.00757985047091086, 0.0069523680282021, 0.006758002555398109, 0.006603768090277303, 0.006157166699477177, 0.0059886267129723655, 0.005745442647115266, 0.005706237884081608, 0.0056304811007748855, 0.005369950228290764, 0.005127966277061199, 0.005066597385305123, 0.0050262829370692685, 0.00485466227668161, 0.004679889540760861, 0.004485873617943717, 0.00426483437646603, 0.004151297579729144, 0.004093439708112704, 0.0039850952661451, 0.003889705980071911, 0.003668252820294331, 0.0036654560523090894, 0.003566394777044148, 0.00344751896317479]                     |
|2    |[19, 42, 212, 217, 2, 12, 188, 29, 240, 27, 826, 174, 106, 1, 72, 225, 15, 4, 3, 656, 98, 59, 898, 18, 51, 983, 48, 38, 1460, 345]                      |[0.011067870457486027, 0.008142902881101432, 0.007515588898670986, 0.006954545866364759, 0.006825961151522953, 0.006727515630059347, 0.006436260274992381, 0.006369713261933679, 0.006218211089182426, 0.006177452337849968, 0.005256461747179904, 0.005056309968248647, 0.00483347336622423, 0.0047941384883981985, 0.004574274583811028, 0.004532641022231294, 0.00452504305089472, 0.004447942200160353, 0.004314620874038674, 0.00425960282686997, 0.004139591676998449, 0.004044511233988435, 0.003994841725806116, 0.003750714758757222, 0.0037248063624575997, 0.003699138201744752, 0.003593150947534305, 0.0035017223254561526, 0.0034637368360893902, 0.003428371125855341]              |
|3    |[11, 33, 71, 286, 299, 933, 129, 1181, 116, 248, 727, 593, 232, 544, 598, 837, 612, 82, 21, 80, 1250, 254, 1759, 74, 1169, 137, 2274, 1728, 15, 75]     |[0.04598372776574085, 0.02333327495586064, 0.022577669441342693, 0.014372566052251881, 0.014066750359531734, 0.00999918704352287, 0.00973335294343857, 0.009332324451891163, 0.00909982869703758, 0.008650137064030665, 0.008588944571797255, 0.007499072134731283, 0.007466285052286406, 0.007277800504561747, 0.006378877914060826, 0.006312677883062835, 0.005939851287472025, 0.005883429962603968, 0.005445314468841479, 0.005391418906946273, 0.004926692401155436, 0.004855329750127921, 0.004653891969108638, 0.00446488522046941, 0.004387120315621663, 0.003963222769569927, 0.0036939298890064417, 0.003616947954099181, 0.003449341545398228, 0.0033941512689185166]                   |
|4    |[46, 17, 126, 85, 89, 52, 160, 29, 386, 120, 201, 8, 635, 23, 253, 483, 1, 1213, 2, 311, 43, 545, 301, 12, 30, 965, 124, 41, 58, 61]                    |[0.020668231609342235, 0.01716952208303354, 0.016491459186681722, 0.015783840639731005, 0.01530041502577209, 0.011652871898858361, 0.011188203278888649, 0.009806637306850975, 0.009592880359827392, 0.008560940668340298, 0.007798275593879079, 0.007249062652970939, 0.007221883099152811, 0.006654832889800156, 0.0065955890058311505, 0.006181509974038844, 0.00553883791162764, 0.005496581868653706, 0.005488306810128148, 0.0054772005023259514, 0.005297970948997705, 0.005105620851568058, 0.005090030197010816, 0.005051387616231185, 0.004949073622455686, 0.004587696879301645, 0.004177538905707719, 0.003977422495364285, 0.0038628261867242005, 0.0038564671501430518]              |
|5    |[24, 39, 94, 65, 2, 60, 49, 77, 32, 27, 363, 552, 61, 121, 12, 385, 584, 110, 156, 629, 186, 930, 1358, 44, 830, 58, 21, 234, 221, 18]                  |[0.013434069988207266, 0.012869825636699639, 0.009149018135260072, 0.008765395593223391, 0.008397910787754728, 0.008044543073816178, 0.007874058479637375, 0.006187115455306192, 0.005934051934627082, 0.005764713826658374, 0.005282724308936944, 0.005081569950067817, 0.0050682211763380305, 0.005061697667401536, 0.004745135359252717, 0.004610130361506474, 0.004436402751093072, 0.0043505276520009045, 0.004333477200359878, 0.0040869252944202815, 0.003964287883205119, 0.003805976665297072, 0.003489323352119279, 0.0034048616065871207, 0.0033630847670183175, 0.0033122369744219846, 0.0032795217489545504, 0.0032779991305653504, 0.003206850905538643, 0.0030731152869533764]      |
|6    |[9, 40, 113, 197, 16, 214, 84, 319, 919, 196, 77, 677, 1152, 1100, 20, 340, 1199, 1, 1572, 717, 1649, 62, 53, 773, 1880, 44, 8, 1275, 1744, 1220]       |[0.025176218459787934, 0.017195766260693, 0.015311530083964185, 0.012676866598906475, 0.011804295441784952, 0.011795689833860876, 0.010796072831515745, 0.007847829081142007, 0.006023182074714581, 0.0059969822554278105, 0.005621553100062842, 0.005081898999233205, 0.00455626080646164, 0.004414879140680149, 0.004321199174990384, 0.004220759645769214, 0.0040732924761348365, 0.0038689617037168346, 0.0036731468025157613, 0.0036664236226594945, 0.0036416746957147563, 0.0033529516666354763, 0.0031744053695851172, 0.0030790107810051903, 0.003051825075618463, 0.002941169314661037, 0.0027316291184130204, 0.0026259084432223682, 0.0026218434222316307, 0.002589572505022326]       |
|7    |[68, 21, 2, 66, 840, 452, 1096, 15, 1108, 82, 189, 998, 1327, 1092, 1403, 1, 1019, 1258, 250, 1240, 632, 1203, 1546, 11, 18, 1593, 150, 1507, 1292, 952]|[0.019038036414170095, 0.011758386572386719, 0.009198596616599717, 0.007940445106620468, 0.007240331586542051, 0.006631935209576277, 0.0059932896490431575, 0.005804453816371548, 0.0054562908496044804, 0.005329184936418433, 0.005271975748930057, 0.004847408948530255, 0.004670611648592522, 0.004669278522741193, 0.004610253408901047, 0.004524423626224705, 0.00443349828887875, 0.004239168600132821, 0.0039036929144122177, 0.003765923244811901, 0.0035580232251132063, 0.003529612761469831, 0.003484199689778818, 0.0034355804981647683, 0.003408143374139219, 0.0033618076920034707, 0.003218619918682218, 0.003177243595098962, 0.003176436896977616, 0.003065393560736365]          |
|8    |[114, 3, 4, 38, 124, 350, 470, 422, 8, 106, 725, 419, 1028, 516, 292, 1477, 873, 1236, 1634, 749, 757, 6, 1386, 63, 225, 1441, 2, 12, 1576, 1653]       |[0.014153072089094427, 0.011258385950858332, 0.008662684490523216, 0.00786108110778553, 0.007455621593673714, 0.006852958730184714, 0.0066039212278645835, 0.006026203472340456, 0.005813684837835919, 0.005728336260166897, 0.005256243086076054, 0.0051179201206863045, 0.004851928255593374, 0.00485038634876162, 0.004586124822546432, 0.00440823756199742, 0.003732621693510024, 0.003521248284519556, 0.003383253946929393, 0.0033505403417824087, 0.003293911164875414, 0.0032694828801094152, 0.0031877707841945556, 0.0031443383430411797, 0.0030719936829391955, 0.0030101263675871644, 0.0029999696308309538, 0.0028523910101444787, 0.0028473690239027645, 0.0028283690308968227]      |
|9    |[7, 97, 51, 166, 83, 10, 237, 23, 8, 79, 54, 274, 25, 151, 643, 291, 932, 93, 84, 690, 277, 87, 12, 412, 250, 378, 50, 1162, 176, 28]                   |[0.028382397774736147, 0.012136446841885406, 0.009395414688323967, 0.009116545732149654, 0.007808946765161203, 0.00737469734309509, 0.006832053680332434, 0.0067189656333765104, 0.006409038469111167, 0.0059852968440548835, 0.005508333798538414, 0.005460174555837288, 0.00483685192571842, 0.004688080483862606, 0.004580639435430251, 0.004352759142029475, 0.003857305380696657, 0.0038534065765863735, 0.003843366497577893, 0.003812136505280151, 0.003705769968257754, 0.0036633642784287494, 0.003639510930994461, 0.003527502124168687, 0.0034307242678230806, 0.003413312262992372, 0.003093663455532357, 0.003030234227317461, 0.0030011398956574387, 0.0029486620489185813]          |
